timestamp_utc,step,epoch,split,loss,eval_loss,learning_rate,grad_norm,eval_runtime,eval_samples_per_second
2026-07-22T14:16:21.657265+00:00,1,0.2,training,2.7623,,0.0002,2.883716583251953,,
2026-07-22T14:16:24.548619+00:00,2,0.4,training,2.9551,,0.0001866666666666667,3.181110143661499,,
2026-07-22T14:16:27.622172+00:00,3,0.6,training,2.3037,,0.00017333333333333334,2.160454273223877,,
2026-07-22T14:16:30.551503+00:00,4,0.8,training,2.2704,,0.00016,1.8081344366073608,,
2026-07-22T14:16:33.627600+00:00,5,1.0,training,2.1714,,0.00014666666666666666,1.6872644424438477,,
2026-07-22T14:16:34.952459+00:00,5,1.0,evaluation,,2.1685872077941895,,,1.3214,15.135
2026-07-22T14:16:38.727541+00:00,6,1.2,training,1.892,,0.00013333333333333334,1.6596943140029907,,
2026-07-22T14:16:41.857657+00:00,7,1.4,training,2.2856,,0.00012,1.525773048400879,,
2026-07-22T14:16:45.025655+00:00,8,1.6,training,2.1561,,0.00010666666666666667,1.4927780628204346,,
2026-07-22T14:16:48.051409+00:00,9,1.8,training,2.5167,,9.333333333333334e-05,1.6790601015090942,,
2026-07-22T14:16:51.017779+00:00,10,2.0,training,2.2164,,8e-05,1.5383028984069824,,
2026-07-22T14:16:52.378120+00:00,10,2.0,evaluation,,2.091865301132202,,,1.3568,14.74
2026-07-22T14:16:56.244037+00:00,11,2.2,training,2.1761,,6.666666666666667e-05,1.5787848234176636,,
2026-07-22T14:16:59.511232+00:00,12,2.4,training,2.2172,,5.333333333333333e-05,1.4237396717071533,,
2026-07-22T14:17:02.647066+00:00,13,2.6,training,2.3693,,4e-05,1.728271245956421,,
2026-07-22T14:17:05.758919+00:00,14,2.8,training,1.9553,,2.6666666666666667e-05,1.4093780517578125,,
2026-07-22T14:17:08.972341+00:00,15,3.0,training,1.9245,,1.3333333333333333e-05,1.4051313400268555,,
2026-07-22T14:17:10.401585+00:00,15,3.0,evaluation,,2.058072090148926,,,1.425,14.035
2026-07-22T14:17:11.223876+00:00,15,3.0,training,,,,,,
